First,Last,Office,Report,Date
<td>RICHARD</td>,<td>BLUMENTHAL</td>,"<td class=""noWrap"">Senator</td>","<td><a href=""/search/view/paper/5D2B5788-E628-4B03-B09C-CD0C0C63DE2C/"" target=""_blank"">Annual Report (Amendment)</a></td>",<td>10/31/2013</td>
<td>RICHARD</td>,<td>BLUMENTHAL</td>,"<td class=""noWrap"">Senator</td>","<td><a href=""/search/view/paper/CB43BA88-19A7-4070-9E8C-68573D749644/"" target=""_blank"">Annual Report</a></td>",<td>08/12/2013</td>
<td>RICHARD</td>,<td>BLUMENTHAL</td>,"<td class=""noWrap"">Senator</td>","<td><a href=""/search/view/paper/FF4E4230-D48D-4D0A-B2CF-EC1203EFD133/"" target=""_blank"">Periodic Transaction Report for 11/08/2013</a></td>",<td>11/08/2013</td>
<td>RICHARD</td>,<td>BLUMENTHAL</td>,"<td class=""noWrap"">Senator</td>","<td><a href=""/search/view/paper/CE1B1262-3C07-43E1-99E7-2E50DE77ACB9/"" target=""_blank"">Report Due Date Extension</a></td>",<td>04/22/2013</td>
<td>RICHARD</td>,<td>BLUMENTHAL</td>,"<td class=""noWrap"">Senator</td>","<td><a href=""/search/view/paper/358EDE65-6001-491B-B182-E55E6DECC2AE/"" target=""_blank"">Periodic Transaction Report for 01/02/2013</a></td>",<td>01/02/2013</td>
<td>RICHARD</td>,<td>BLUMENTHAL</td>,"<td class=""noWrap"">Senator</td>","<td><a href=""/search/view/paper/B49F3170-0DE0-411B-89B0-AF1B8521365D/"" target=""_blank"">Periodic Transaction Report for 08/22/2012</a></td>",<td>08/22/2012</td>
<td>RICHARD</td>,<td>BLUMENTHAL</td>,"<td class=""noWrap"">Senator</td>","<td><a href=""/search/view/paper/9D9557ED-A711-479C-B15E-424F5192AF82/"" target=""_blank"">Periodic Transaction Report for 02/01/2013</a></td>",<td>02/01/2013</td>
<td>RICHARD</td>,<td>BLUMENTHAL</td>,"<td class=""noWrap"">Senator</td>","<td><a href=""/search/view/paper/9682EEFA-4743-4E55-98C7-6F4D9B5FD873/"" target=""_blank"">Annual Report</a></td>",<td>08/09/2012</td>
<td>RICHARD </td>,<td>BLUMENTHAL</td>,"<td class=""noWrap"">Senator</td>","<td><a href=""/search/view/paper/af3d8319-b7c6-473e-b522-6b05d36215ad/"" target=""_blank"">Annual Report</a></td>",<td>08/13/2018</td>
<td>RICHARD </td>,<td>BLUMENTHAL</td>,"<td class=""noWrap"">Senator</td>","<td><a href=""/search/view/paper/3527564d-67d0-43f7-9d70-02067a55e2fb/"" target=""_blank"">Periodic Transaction Report for 10/25/2018</a></td>",<td>10/25/2018</td>
<td>RICHARD </td>,<td>BLUMENTHAL</td>,"<td class=""noWrap"">Senator</td>","<td><a href=""/search/view/paper/a68e9328-7725-42ef-8f34-32fb4139270f/"" target=""_blank"">Periodic Transaction Report for 03/15/2021</a></td>",<td>03/15/2021</td>
<td>RICHARD </td>,<td>BLUMENTHAL</td>,"<td class=""noWrap"">Senator</td>","<td><a href=""/search/view/paper/d7cd0bf5-9a9c-4804-a0b1-3a08a47b0a27/"" target=""_blank"">Annual Report (Amendment)</a></td>",<td>08/13/2018</td>
<td>RICHARD </td>,<td>BLUMENTHAL</td>,"<td class=""noWrap"">Senator</td>","<td><a href=""/search/view/paper/e24251ff-2099-453b-9578-470590cb971f/"" target=""_blank"">Periodic Transaction Report for 12/18/2018</a></td>",<td>12/18/2018</td>
<td>RICHARD </td>,<td>BLUMENTHAL</td>,"<td class=""noWrap"">Senator</td>","<td><a href=""/search/view/paper/298ebe23-17e0-41d0-9e5c-c398ae350857/"" target=""_blank"">Periodic Transaction Report for 11/28/2018</a></td>",<td>11/28/2018</td>
<td>RICHARD </td>,<td>BLUMENTHAL</td>,"<td class=""noWrap"">Senator</td>","<td><a href=""/search/view/paper/7f33e550-caa2-4718-8bf5-d73d0adb010b/"" target=""_blank"">Periodic Transaction Report for 07/26/2017</a></td>",<td>07/26/2017</td>
<td>RICHARD </td>,<td>BLUMENTHAL</td>,"<td class=""noWrap"">Senator</td>","<td><a href=""/search/view/paper/92de2283-fef4-4f5c-bead-956ceb88688d/"" target=""_blank"">Periodic Transaction Report for 05/24/2018</a></td>",<td>05/24/2018</td>
<td>RICHARD </td>,<td>BLUMENTHAL</td>,"<td class=""noWrap"">Senator</td>","<td><a href=""/search/view/paper/cd709859-1fc1-4451-98b9-aa5ff7a0efe2/"" target=""_blank"">Annual Report (Amendment)</a></td>",<td>07/01/2021</td>
<td>RICHARD </td>,<td>BLUMENTHAL</td>,"<td class=""noWrap"">Senator</td>","<td><a href=""/search/view/paper/0e3dac6b-fb4b-484f-84f8-f2fb3f331b03/"" target=""_blank"">Annual Report (Amendment)</a></td>",<td>05/24/2017</td>
<td>RICHARD </td>,<td>BLUMENTHAL</td>,"<td class=""noWrap"">Senator</td>","<td><a href=""/search/view/paper/3b49848e-ffef-40f0-bae2-134f42e73b99/"" target=""_blank"">Periodic Transaction Report for 11/16/2017</a></td>",<td>11/16/2017</td>
<td>RICHARD </td>,<td>BLUMENTHAL</td>,"<td class=""noWrap"">Senator</td>","<td><a href=""/search/view/paper/b592b168-6ec8-4ea4-b153-cd3148404c2e/"" target=""_blank"">Periodic Transaction Report for 04/02/2018</a></td>",<td>04/02/2018</td>
<td>ANDREW LAMAR</td>,<td>ALEXANDER</td>,"<td class=""noWrap"">Senator</td>","<td><a href=""/search/view/paper/2701724B-A03B-4738-8E28-15D9FBBADEFE/"" target=""_blank"">Annual Report</a></td>",<td>05/15/2012</td>
<td>ANDREW LAMAR</td>,<td>ALEXANDER</td>,"<td class=""noWrap"">Senator</td>","<td><a href=""/search/view/paper/0DAB9BAF-F4DA-4214-B875-A077BA158CAF/"" target=""_blank"">Annual Report</a></td>",<td>05/15/2013</td>
<td>ANDREW LAMAR</td>,<td>ALEXANDER</td>,"<td class=""noWrap"">Senator</td>","<td><a href=""/search/view/paper/FA12998F-713A-40BB-8892-9BCFA5308999/"" target=""_blank"">Annual Report (Amendment)</a></td>",<td>06/06/2012</td>
<td>LAMAR </td>,<td>ALEXANDER</td>,"<td class=""noWrap"">Senator</td>","<td><a href=""/search/view/paper/EB880093-8D54-46A0-97F4-8CA635355D55/"" target=""_blank"">Annual Report</a></td>",<td>05/15/2014</td>
<td>LAMAR </td>,<td>ALEXANDER</td>,"<td class=""noWrap"">Senator</td>","<td><a href=""/search/view/paper/2ddb55fe-8fd1-432a-8174-4a2d6b3fa2ab/"" target=""_blank"">Annual Report (Amendment)</a></td>",<td>06/18/2018</td>
<td>LAMAR </td>,<td>ALEXANDER</td>,"<td class=""noWrap"">Senator</td>","<td><a href=""/search/view/paper/183C162F-950A-412F-B3C3-ECFE05B45051/"" target=""_blank"">Annual Report (Amendment)</a></td>",<td>11/21/2014</td>
<td>Tammy</td>,<td>Baldwin</td>,"<td class=""noWrap"">Baldwin, Tammy (Senator)</td>","<td><a href=""/search/view/annual/5fbacc8a-4484-4dbc-834f-e068b0fcce24/"" target=""_blank"">Annual Report for CY 2014</a></td>",<td>05/13/2015</td>
<td>Tammy</td>,<td>Baldwin</td>,"<td class=""noWrap"">Baldwin, Tammy (Senator)</td>","<td><a href=""/search/view/annual/c970b65b-fdc4-47b6-be36-5c5f736376f1/"" target=""_blank"">Annual Report for CY 2015</a></td>",<td>05/11/2016</td>
<td>Tammy</td>,<td>Baldwin</td>,"<td class=""noWrap"">Baldwin, Tammy (Senator)</td>","<td><a href=""/search/view/annual/04035046-9b3e-4911-8985-ebf3b7309914/"" target=""_blank"">Annual Report for CY 2016</a></td>",<td>05/11/2017</td>
<td>Tammy</td>,<td>Baldwin</td>,"<td class=""noWrap"">Baldwin, Tammy (Senator)</td>","<td><a href=""/search/view/annual/cd995c54-f862-45ee-a342-074cbcd74e7a/"" target=""_blank"">Annual Report for CY 2017</a></td>",<td>05/09/2018</td>
<td>Tammy</td>,<td>Baldwin</td>,"<td class=""noWrap"">Senator</td>","<td><a href=""/search/view/extension-notice/regular/6158b9be-672f-4657-9c37-bf8cd0fe5ae8/"" target=""_blank"">Annual Report for 2019 Due Date Extension 1</a></td>",<td>04/16/2020</td>
<td>Tammy</td>,<td>Baldwin</td>,"<td class=""noWrap"">Baldwin, Tammy (Senator)</td>","<td><a href=""/search/view/annual/e8d436a6-62ae-4e35-a2ff-d0b565b906eb/"" target=""_blank"">Annual Report for CY 2013</a></td>",<td>05/15/2014</td>
<td>Tammy</td>,<td>Baldwin</td>,"<td class=""noWrap"">Baldwin, Tammy (Senator)</td>","<td><a href=""/search/view/annual/882de87e-7257-43b6-af1c-72bdfd1487f9/"" target=""_blank"">Annual Report for CY 2018</a></td>",<td>05/14/2019</td>
<td>Tammy</td>,<td>Baldwin</td>,"<td class=""noWrap"">Baldwin, Tammy (Senator)</td>","<td><a href=""/search/view/annual/94bbc60f-debe-4696-a27e-4e39f51a6fd9/"" target=""_blank"">Annual Report for CY 2020</a></td>",<td>05/14/2021</td>
<td>Tammy</td>,<td>Baldwin</td>,"<td class=""noWrap"">Baldwin, Tammy (Senator)</td>","<td><a href=""/search/view/annual/55aecaa3-e6ad-46c4-943f-5b326b1f414b/"" target=""_blank"">Annual Report for CY 2019</a></td>",<td>07/29/2020</td>
<td>TAMMY</td>,<td>BALDWIN</td>,"<td class=""noWrap"">Senator</td>","<td><a href=""/search/view/paper/D5B21549-905A-4D40-876C-0B43843A7C91/"" target=""_blank"">Blind Trust</a></td>",<td>05/09/2013</td>
<td>TAMMY</td>,<td>BALDWIN</td>,"<td class=""noWrap"">Senator</td>","<td><a href=""/search/view/paper/B12DA76A-EA4F-41CD-A927-532E2CA26E6F/"" target=""_blank"">Miscellaneous Information</a></td>",<td>01/03/2013</td>
<td>TAMMY</td>,<td>BALDWIN</td>,"<td class=""noWrap"">Senator</td>","<td><a href=""/search/view/paper/30071A15-4BBC-42CC-95A7-2619BFF9A35D/"" target=""_blank"">Annual Report</a></td>",<td>05/15/2013</td>
<td>TAMMY </td>,<td>BALDWIN</td>,"<td class=""noWrap"">Senator</td>","<td><a href=""/search/view/paper/00a6c119-18f4-4774-ab09-7d9f90b029a6/"" target=""_blank"">Annual Report (Amendment)</a></td>",<td>05/12/2017</td>
<td>TAMMY </td>,<td>BALDWIN</td>,"<td class=""noWrap"">Senator</td>","<td><a href=""/search/view/paper/e949cd19-2f95-482f-ab1d-b4f96d16e452/"" target=""_blank"">Blind Trust</a></td>",<td>09/15/2016</td>
<td>John A</td>,<td>Barrasso</td>,"<td class=""noWrap"">Barrasso, John (Senator)</td>","<td><a href=""/search/view/annual/b5e5f37e-f39c-466e-94d7-3d80ff04e3bb/"" target=""_blank"">Annual Report for CY 2015</a></td>",<td>05/16/2016</td>
<td>John A</td>,<td>Barrasso</td>,"<td class=""noWrap"">Barrasso, John (Senator)</td>","<td><a href=""/search/view/annual/ad59484e-58c5-47a6-b96d-a5da3ea36e96/"" target=""_blank"">Annual Report for CY 2020</a></td>",<td>05/17/2021</td>
<td>John A</td>,<td>Barrasso</td>,"<td class=""noWrap"">Barrasso, John (Senator)</td>","<td><a href=""/search/view/annual/b37598a7-5ee9-449f-8309-efd4be9e77d2/"" target=""_blank"">Annual Report for CY 2017</a></td>",<td>05/15/2018</td>
<td>John A</td>,<td>Barrasso</td>,"<td class=""noWrap"">Barrasso, John (Senator)</td>","<td><a href=""/search/view/ptr/265964e0-3d22-4a52-af4f-37916b56390d/"" target=""_blank"">Periodic Transaction Report for 05/24/2018</a></td>",<td>05/24/2018</td>
<td>John A</td>,<td>Barrasso</td>,"<td class=""noWrap"">Barrasso, John (Senator)</td>","<td><a href=""/search/view/annual/e4c55da8-1f73-4417-ab46-fa55146dc388/"" target=""_blank"">Annual Report for CY 2016</a></td>",<td>05/15/2017</td>
<td>John A</td>,<td>Barrasso</td>,"<td class=""noWrap"">Senator</td>","<td><a href=""/search/view/extension-notice/regular/8c4dca80-d218-4528-8b1a-ce7686de5acf/"" target=""_blank"">Annual Report for 2019 Due Date Extension 1</a></td>",<td>04/16/2020</td>
<td>John A</td>,<td>Barrasso</td>,"<td class=""noWrap"">Barrasso, John (Senator)</td>","<td><a href=""/search/view/annual/dce75503-f37d-461e-907b-bc016bcdb267/"" target=""_blank"">Annual Report for CY 2014</a></td>",<td>05/15/2015</td>
<td>John A</td>,<td>Barrasso</td>,"<td class=""noWrap"">Barrasso, John (Senator)</td>","<td><a href=""/search/view/annual/cc198326-0f50-4f47-8b03-a5c6440f400f/"" target=""_blank"">Annual Report for CY 2018</a></td>",<td>05/15/2019</td>
<td>John A</td>,<td>Barrasso</td>,"<td class=""noWrap"">Barrasso, John (Senator)</td>","<td><a href=""/search/view/annual/1f77e85f-d520-4407-8bd1-2e66a27b634f/"" target=""_blank"">Annual Report for CY 2015 (Amendment 1)</a></td>",<td>05/15/2017</td>
<td>John A</td>,<td>Barrasso</td>,"<td class=""noWrap"">Barrasso, John (Senator)</td>","<td><a href=""/search/view/annual/11d4f1bc-8cfa-4a61-94ea-410b061576d3/"" target=""_blank"">Annual Report for CY 2019</a></td>",<td>05/14/2020</td>
<td>JOHN A</td>,<td>BARRASSO</td>,"<td class=""noWrap"">Senator</td>","<td><a href=""/search/view/paper/B26F10D4-11DA-4F2B-9EEB-B2B5CFEDFA26/"" target=""_blank"">Annual Report</a></td>",<td>05/15/2014</td>
<td>JOHN A </td>,<td>BARRASSO</td>,"<td class=""noWrap"">Senator</td>","<td><a href=""/search/view/paper/70EC2954-B5F2-483C-AD4A-B58E44694FFB/"" target=""_blank"">Annual Report</a></td>",<td>05/15/2012</td>
<td>JOHN A </td>,<td>BARRASSO</td>,"<td class=""noWrap"">Senator</td>","<td><a href=""/search/view/paper/54237159-ACF6-4375-AC34-75F8438FD6E2/"" target=""_blank"">Annual Report (Amendment)</a></td>",<td>05/15/2012</td>
<td>JOHN A </td>,<td>BARRASSO</td>,"<td class=""noWrap"">Senator</td>","<td><a href=""/search/view/paper/2A9D38A0-2C5D-4945-A756-8620EB94C556/"" target=""_blank"">Annual Report (Amendment)</a></td>",<td>05/15/2012</td>
<td>JOHN A </td>,<td>BARRASSO</td>,"<td class=""noWrap"">Senator</td>","<td><a href=""/search/view/paper/F149BAD0-E72C-49B9-A89A-9A27D5CA553E/"" target=""_blank"">Annual Report</a></td>",<td>05/15/2013</td>
<td>JOHN A </td>,<td>BARRASSO</td>,"<td class=""noWrap"">Senator</td>","<td><a href=""/search/view/paper/28B62BCA-888B-44E4-BD6E-2E092DFA4150/"" target=""_blank"">Annual Report (Amendment)</a></td>",<td>04/17/2012</td>
<td>JOHN A </td>,<td>BARRASSO</td>,"<td class=""noWrap"">Senator</td>","<td><a href=""/search/view/paper/D4461DBA-7519-4B8D-95A8-97745F6EB53A/"" target=""_blank"">Annual Report (Amendment)</a></td>",<td>05/15/2012</td>
<td>Michael F</td>,<td>Bennet</td>,"<td class=""noWrap"">Bennet, Michael (Senator)</td>","<td><a href=""/search/view/annual/6d680ac7-e2d8-4d26-bf97-e3bb76f1b2f3/"" target=""_blank"">Annual Report for CY 2017</a></td>",<td>05/15/2018</td>
<td>Michael F</td>,<td>Bennet</td>,"<td class=""noWrap"">Bennet, Michael (Senator)</td>","<td><a href=""/search/view/annual/c81fe2d7-e217-4bbf-b0be-7ccd845280d2/"" target=""_blank"">Annual Report for CY 2019</a></td>",<td>08/12/2020</td>
<td>Michael F</td>,<td>Bennet</td>,"<td class=""noWrap"">Bennet, Michael (Senator)</td>","<td><a href=""/search/view/annual/56cb650e-9995-4f62-8b00-8dd6a154ad1b/"" target=""_blank"">Annual Report for CY 2018</a></td>",<td>07/10/2019</td>
<td>Michael F</td>,<td>Bennet</td>,"<td class=""noWrap"">Bennet, Michael (Senator)</td>","<td><a href=""/search/view/annual/2cf1f5df-a3ab-4344-96a4-edd8924feb32/"" target=""_blank"">Annual Report for CY 2019 (Amendment 1)</a></td>",<td>10/06/2020</td>
<td>Michael F</td>,<td>Bennet</td>,"<td class=""noWrap"">Bennet, Michael (Senator)</td>","<td><a href=""/search/view/annual/7ed08e45-81f6-4aa8-a99b-f78e6f297345/"" target=""_blank"">Annual Report for CY 2013 (Amendment 1)</a></td>",<td>05/15/2015</td>
<td>Michael F</td>,<td>Bennet</td>,"<td class=""noWrap"">Bennet, Michael (Senator)</td>","<td><a href=""/search/view/ptr/e4f7fd47-09da-42c8-ab8e-064ddd5e185f/"" target=""_blank"">Periodic Transaction Report for 05/04/2020</a></td>",<td>05/04/2020</td>
<td>Michael F</td>,<td>Bennet</td>,"<td class=""noWrap"">Bennet, Michael (Senator)</td>","<td><a href=""/search/view/ptr/cc21478c-7266-432d-9412-efd04d059ab4/"" target=""_blank"">Periodic Transaction Report for 04/02/2019</a></td>",<td>04/02/2019</td>
<td>Michael F</td>,<td>Bennet</td>,"<td class=""noWrap"">Bennet, Michael (Senator)</td>","<td><a href=""/search/view/ptr/ca3a419d-76cb-45f4-b6ac-203baf908371/"" target=""_blank"">Periodic Transaction Report for 04/10/2017</a></td>",<td>04/10/2017</td>
<td>Michael F</td>,<td>Bennet</td>,"<td class=""noWrap"">Bennet, Michael (Senator)</td>","<td><a href=""/search/view/ptr/d4ab53a8-86b8-43ee-8d12-64458b870046/"" target=""_blank"">Periodic Transaction Report for 09/02/2020</a></td>",<td>09/02/2020</td>
<td>Michael F</td>,<td>Bennet</td>,"<td class=""noWrap"">Bennet, Michael (Senator)</td>","<td><a href=""/search/view/annual/bb9b7053-c6a9-4602-988d-d1223023faeb/"" target=""_blank"">Annual Report for CY 2016</a></td>",<td>05/15/2017</td>
<td>Michael F</td>,<td>Bennet</td>,"<td class=""noWrap"">Bennet, Michael (Senator)</td>","<td><a href=""/search/view/ptr/d72b5a11-2578-4923-b5db-120464bc4261/"" target=""_blank"">Periodic Transaction Report for 02/07/2017</a></td>",<td>02/07/2017</td>
<td>Michael F</td>,<td>Bennet</td>,"<td class=""noWrap"">Bennet, Michael (Senator)</td>","<td><a href=""/search/view/ptr/596ec5e5-2392-4cb7-a12d-8466ab2a4f8e/"" target=""_blank"">Periodic Transaction Report for 07/12/2021</a></td>",<td>07/12/2021</td>
<td>Michael F</td>,<td>Bennet</td>,"<td class=""noWrap"">Bennet, Michael (Senator)</td>","<td><a href=""/search/view/ptr/cd2add48-f2bc-42bc-acbd-d8f7b502eae1/"" target=""_blank"">Periodic Transaction Report for 12/21/2017</a></td>",<td>12/21/2017</td>
<td>Michael F</td>,<td>Bennet</td>,"<td class=""noWrap"">Bennet, Michael (Senator)</td>","<td><a href=""/search/view/extension-notice/regular/60957fe4-5029-44f4-8b52-d1391ef81cff/"" target=""_blank"">Annual Report for 2018 Due Date Extension 1</a></td>",<td>05/09/2019</td>
<td>Michael F</td>,<td>Bennet</td>,"<td class=""noWrap"">Bennet, Michael (Senator)</td>","<td><a href=""/search/view/annual/a95fa99b-972e-4c69-a161-bd3d50e61ac3/"" target=""_blank"">Annual Report for CY 2013</a></td>",<td>05/15/2014</td>
<td>Michael F</td>,<td>Bennet</td>,"<td class=""noWrap"">Bennet, Michael (Senator)</td>","<td><a href=""/search/view/annual/c3c3a608-d77b-407b-8e47-85330b3051dd/"" target=""_blank"">Annual Report for CY 2014 (Amendment 1)</a></td>",<td>06/25/2015</td>
<td>Michael F</td>,<td>Bennet</td>,"<td class=""noWrap"">Bennet, Michael (Senator)</td>","<td><a href=""/search/view/annual/b47ed26c-1054-4549-86ad-38cd7215a4f7/"" target=""_blank"">Annual Report for CY 2015</a></td>",<td>05/16/2016</td>
<td>Michael F</td>,<td>Bennet</td>,"<td class=""noWrap"">Bennet, Michael (Senator)</td>","<td><a href=""/search/view/annual/c3858f5c-25ad-48b0-98fe-c7bf56187a7b/"" target=""_blank"">Annual Report for CY 2014</a></td>",<td>05/15/2015</td>
<td>Michael F</td>,<td>Bennet</td>,"<td class=""noWrap"">Bennet, Michael (Senator)</td>","<td><a href=""/search/view/annual/1e228efd-313f-4520-b6f3-fdc6ba364a46/"" target=""_blank"">Annual Report for CY 2016 (Amendment 1)</a></td>",<td>08/01/2017</td>
<td>Michael F</td>,<td>Bennet</td>,"<td class=""noWrap"">Bennet, Michael (Senator)</td>","<td><a href=""/search/view/extension-notice/regular/f9118158-3cd3-42dd-bb3b-6f55baf2a60a/"" target=""_blank"">Annual Report for 2019 Due Date Extension 1</a></td>",<td>04/16/2020</td>
<td>Michael F</td>,<td>Bennet</td>,"<td class=""noWrap"">Bennet, Michael (Senator)</td>","<td><a href=""/search/view/annual/39baf99f-a698-44c5-a764-0eb6490253b2/"" target=""_blank"">Annual Report for CY 2020</a></td>",<td>05/17/2021</td>
<td>MICHAEL F</td>,<td>BENNET</td>,"<td class=""noWrap"">Senator</td>","<td><a href=""/search/view/paper/2B2000AD-EE04-455F-BAC4-6832F025E476/"" target=""_blank"">Annual Report (Amendment)</a></td>",<td>08/21/2014</td>
<td>MICHAEL F </td>,<td>BENNET</td>,"<td class=""noWrap"">Senator</td>","<td><a href=""/search/view/paper/046385AD-BCA5-454D-9480-44E397F19F54/"" target=""_blank"">Annual Report</a></td>",<td>05/15/2012</td>
<td>MICHAEL F </td>,<td>BENNET</td>,"<td class=""noWrap"">Senator</td>","<td><a href=""/search/view/paper/9385D127-13A2-4978-8BE6-5EBE64674C9C/"" target=""_blank"">Annual Report</a></td>",<td>05/15/2013</td>
<td>MICHAEL F </td>,<td>BENNET</td>,"<td class=""noWrap"">Senator</td>","<td><a href=""/search/view/paper/97255AB0-76B3-439E-9A60-F2B2E4E9E23E/"" target=""_blank"">Annual Report (Amendment)</a></td>",<td>06/04/2012</td>
<td>Marsha</td>,<td>Blackburn</td>,"<td class=""noWrap"">Blackburn, Marsha (Senator)</td>","<td><a href=""/search/view/extension-notice/regular/b156414a-4424-42fe-a4dc-96440e5f8f47/"" target=""_blank"">Annual Report for 2020 Due Date Extension 2</a></td>",<td>07/13/2021</td>
<td>Marsha</td>,<td>Blackburn</td>,"<td class=""noWrap"">Blackburn, Marsha (Senator)</td>","<td><a href=""/search/view/annual/da65c3fe-88df-4f0c-bdc2-9f2d57b828fa/"" target=""_blank"">Annual Report for CY 2019</a></td>",<td>08/13/2020</td>
<td>Marsha</td>,<td>Blackburn</td>,"<td class=""noWrap"">Blackburn, Marsha (Senator)</td>","<td><a href=""/search/view/annual/28226c2b-36e2-4df6-bc54-ed3a3326d669/"" target=""_blank"">Annual Report for CY 2019 (Amendment 1)</a></td>",<td>01/20/2021</td>
<td>Marsha</td>,<td>Blackburn</td>,"<td class=""noWrap"">Blackburn, Marsha (Senator)</td>","<td><a href=""/search/view/extension-notice/regular/83e7fe8f-6601-4a05-8049-8c60f62549ec/"" target=""_blank"">Annual Report for 2018 Due Date Extension 1</a></td>",<td>05/14/2019</td>
<td>Marsha</td>,<td>Blackburn</td>,"<td class=""noWrap"">Blackburn, Marsha (Senator)</td>","<td><a href=""/search/view/extension-notice/regular/c6cee10b-0a26-45a9-80cd-68fca3cb636b/"" target=""_blank"">Annual Report for 2018 Due Date Extension 3</a></td>",<td>08/08/2019</td>
<td>Marsha</td>,<td>Blackburn</td>,"<td class=""noWrap"">Senator</td>","<td><a href=""/search/view/extension-notice/regular/72750426-c832-432c-bc97-aab81a15189d/"" target=""_blank"">Annual Report for 2019 Due Date Extension 1</a></td>",<td>04/16/2020</td>
